id,symbol,name,current_price,24h_change_%,7d_change_%,type
zcash,zec,Zcash,456.28,14.272128703962373,17.828213550693466,gainer_24h
memecore,m,MemeCore,1.61,11.922592174593145,23.30624346435987,gainer_24h
aave,aave,Aave,204.78,8.487892308962484,6.184474419727659,gainer_24h
sui,sui,Sui,1.64,6.429998726030457,-1.3560430282605334,gainer_24h
bittensor,tao,Bittensor,298.99,6.224050858514744,3.568217669073571,gainer_24h
solana,sol,Solana,137.03,5.364930164737191,-2.0882970592384034,gainer_24h
bitcoin-cash,bch,Bitcoin Cash,583.0,5.163973952485679,0.7807334813625986,gainer_24h
mantle,mnt,Mantle,1.18,4.8361529089878115,9.540287143046616,gainer_24h
uniswap,uni,Uniswap,5.55,4.267549390967502,-7.858765366840754,gainer_24h
chainlink,link,Chainlink,14.01,3.9013064278325467,-1.8643980604343413,gainer_24h
cardano,ada,Cardano,0.421756,-2.1017430828646515,-4.515184849633007,loser_24h
world-liberty-financial,wlfi,World Liberty Financial,0.146286,-0.4216569327440916,-4.638573870771059,loser_24h
susds,susds,sUSDS,1.078,-0.19433454125387722,-0.012432725845581773,loser_24h
ethena-usde,usde,Ethena USDe,0.998771,-0.08117410320997204,-0.08884051595404492,loser_24h
ethena-staked-usde,susde,Ethena Staked USDe,1.21,-0.016418398957107998,0.040351419442698044,loser_24h
tether,usdt,Tether,1.0,-0.007023089693579201,-0.005253545604929216,loser_24h
binance-bridged-usdt-bnb-smart-chain,bsc-usd,Binance Bridged USDT (BNB Smart Chain),0.99986,-0.006258293434350831,-0.027760110616734997,loser_24h
usd-coin,usdc,USDC,0.999781,-0.0008205551899627798,0.007768685158618437,loser_24h
usd1-wlfi,usd1,USD1,0.999172,0.00017894668145561332,0.011386820057757248,loser_24h
paypal-usd,pyusd,PayPal USD,0.999677,0.009107951362635688,-0.017826635810249243,loser_24h
memecore,m,MemeCore,1.61,11.922592174593145,23.30624346435987,gainer_7d
zcash,zec,Zcash,456.28,14.272128703962373,17.828213550693466,gainer_7d
mantle,mnt,Mantle,1.18,4.8361529089878115,9.540287143046616,gainer_7d
canton-network,cc,Canton,0.074757,1.9812220547702084,6.513643174000398,gainer_7d
aave,aave,Aave,204.78,8.487892308962484,6.184474419727659,gainer_7d
bittensor,tao,Bittensor,298.99,6.224050858514744,3.568217669073571,gainer_7d
the-open-network,ton,Toncoin,1.65,3.060746113137319,3.0664001557915608,gainer_7d
wrapped-beacon-eth,wbeth,Wrapped Beacon ETH,3522.08,1.9423197451084724,2.0556298350303805,gainer_7d
wrapped-steth,wsteth,Wrapped stETH,3964.47,2.1938239714291328,2.0296355770809353,gainer_7d
wrapped-eeth,weeth,Wrapped eETH,3516.18,2.2424557928909445,1.9743748173976605,gainer_7d
hyperliquid,hype,Hyperliquid,29.3,3.304968238701543,-13.226802682764676,loser_7d
polkadot,dot,Polkadot,2.07,0.15963432694636653,-9.567979264824226,loser_7d
uniswap,uni,Uniswap,5.55,4.267549390967502,-7.858765366840754,loser_7d
hedera-hashgraph,hbar,Hedera,0.130816,0.5451805680865115,-6.389927994009649,loser_7d
avalanche-2,avax,Avalanche,13.66,2.572746970563077,-5.706259401941253,loser_7d
crypto-com-chain,cro,Cronos,0.101502,0.9747720615839821,-4.954008676237253,loser_7d
dogecoin,doge,Dogecoin,0.140712,2.0735722328659003,-4.918683775495509,loser_7d
world-liberty-financial,wlfi,World Liberty Financial,0.146286,-0.4216569327440916,-4.638573870771059,loser_7d
cardano,ada,Cardano,0.421756,-2.1017430828646515,-4.515184849633007,loser_7d
ripple,xrp,XRP,2.04,1.8016348463892786,-3.4059633495690007,loser_7d
